,Name,Country,Type,lat,lng,Elevation,geometry
370,Tambora ,            Indonesia          ,            Stratovolcano          ,-8.25,118.0,2850.0,POINT (118 -8.25)
371,Tanaga and Takawangha ,            United States          ,            Stratovolcano          ,51.88999938964844,-178.14999389648438,1806.0,POINT (-178.1499938964844 51.88999938964844)
372,Tanaga and Takawangha ,            United States          ,            Stratovolcano          ,51.88999938964844,-178.14999389648438,1806.0,POINT (-178.1499938964844 51.88999938964844)
373,Tangkubanparahu ,            Indonesia          ,            Stratovolcano          ,-6.769999980926514,107.5999984741211,2084.0,POINT (107.5999984741211 -6.769999980926514)
374,Tao-Rusyr Caldera ,            Russia          ,            Stratovolcano          ,49.349998474121094,154.6999969482422,1325.0,POINT (154.6999969482422 49.34999847412109)
375,Tarso Voon ,            Chad          ,            Stratovolcano          ,20.920000076293945,17.280000686645508,3100.0,POINT (17.28000068664551 20.92000007629395)
376,Telica Volcano ,            Nicaragua          ,            Stratovolcano          ,12.600000381469727,-86.8499984741211,1010.0,POINT (-86.84999847412109 12.60000038146973)
377,Tenerife ,            Spain          ,            Stratovolcano          ,28.270000457763672,-16.639999389648438,3715.0,POINT (-16.63999938964844 28.27000045776367)
378,Tengger Caldera and Bromo ,            Indonesia          ,            Stratovolcano          ,-7.940000057220459,112.94999694824219,2329.0,POINT (112.9499969482422 -7.940000057220459)
379,Three Fingered Jack ,            United States          ,            Stratovolcano          ,44.5,-121.80000305175781,2390.0,POINT (-121.8000030517578 44.5)
380,Three Sisters ,            United States          ,            Stratovolcano          ,44.099998474121094,121.7699966430664,3100.0,POINT (121.7699966430664 44.09999847412109)
381,Thule Islands ,            United Kingdom          ,            Stratovolcano          ,-59.45000076293945,-27.3700008392334,1075.0,POINT (-27.3700008392334 -59.45000076293945)
382,Tiatia ,            Russia          ,            Stratovolcano          ,44.349998474121094,146.25999450683594,1819.0,POINT (146.2599945068359 44.34999847412109)
383,Toba ,            Indonesia          ,            Caldera          ,2.5799999237060547,98.83000183105469,2157.0,POINT (98.83000183105469 2.579999923706055)
384,Todoko-Ranu ,            Indonesia          ,            Caldera          ,1.25,127.47000122070312,979.0,POINT (127.4700012207031 1.25)
385,Tokachi ,            Japan          ,,43.41999816894531,142.69000244140625,2077.0,POINT (142.6900024414062 43.41999816894531)
386,Tolbachik ,            Russia          ,            Stratovolcano          ,55.83000183105469,160.3300018310547,3682.0,POINT (160.3300018310547 55.83000183105469)
387,Tolimán ,            Guatemala          ,            Stratovolcano          ,14.609999656677246,-91.19000244140625,3158.0,POINT (-91.19000244140625 14.60999965667725)
388,Towada ,            Japan          ,            Caldera          ,40.470001220703125,140.9199981689453,1159.0,POINT (140.9199981689453 40.47000122070312)
389,Traitor's Head ,            Vanuatu          ,            Stratovolcano          ,-18.75,169.22999572753906,1881.0,POINT (169.2299957275391 -18.75)
390,Tri Sestry ,            Russia          ,            Stratovolcano          ,45.93000030517578,149.9199981689453,998.0,POINT (149.9199981689453 45.93000030517578)
391,Tristan da Cunha ,            United Kingdom          ,            Shield          ,-37.09000015258789,-12.279999732971191,2060.0,POINT (-12.27999973297119 -37.09000015258789)
392,Tsurumi ,            Japan          ,            Dome          ,33.279998779296875,131.42999267578125,1584.0,POINT (131.4299926757812 33.27999877929688)
